frame,node_id,name,zh,en,source,var,action,note,text,id
chat/empty-v2-guest,171:202,EmptyTitle,,"Hi, I'm Xiaolang",manual,,bind,no-strings-hit,"Hi, I'm Xiaolang",171:202
chat/empty-v2-guest,171:204,EmptySubtitle,我能搜相册·修图·调美颜·找人找场景，随便问！,"Search, edit, beautify — ask me anything!",matched,chat.empty.capabilities,bind,,"Search, edit, beautify — ask me anything!",171:204
chat/empty-v2-guest,171:206,guestLink,未注册？注册领免费额度，或配置自己的 Token →,Not registered? Sign up or use your Token →,matched,chat.guest.link,bind,,Not registered? Sign up or use your Token →,171:206
chat/empty-v2-guest,171:232,groupLabel,找照片,Find photos,matched,chat.example.group.search,bind,,Find photos,171:232
chat/empty-v2-guest,171:236,chipText,,Find photos from last summer,manual,,bind,no-strings-hit,Find photos from last summer,171:236
chat/empty-v2-guest,171:245,chipText,,Find photos with people,manual,,bind,no-strings-hit,Find photos with people,171:245
chat/empty-v2-guest,171:249,chipText,,Search for night scene photos,manual,,bind,no-strings-hit,Search for night scene photos,171:249
chat/empty-v2-guest,171:252,groupLabel,问相册,Ask about your gallery,matched,chat.example.group.ask,bind,,Ask about your gallery,171:252
chat/empty-v2-guest,171:256,chipText,,Give me a gallery health report,manual,,bind,no-strings-hit,Give me a gallery health report,171:256
chat/empty-v2-guest,171:265,chipText,,Find duplicate photos,manual,,bind,no-strings-hit,Find duplicate photos,171:265
chat/empty-v2-guest,171:269,chipText,,How many selfies did I take?,manual,,bind,no-strings-hit,How many selfies did I take?,171:269
chat/empty-v2-guest,171:210,InputPlaceholder,向 AI 助手提问...,Ask AI Agent...,matched,ai.agent.input.hint,bind,"multi:ai_agent_input_hint,chat_input_hint,floating_chat_input_hint",Ask AI Agent...,171:210
chat/empty-v2-guest,171:223,GalleryLabel,相册,Gallery,matched,gallery.title,bind,"multi:gallery,gallery_settings",Gallery,171:223
chat/empty-v2-guest,171:225,EngineerLabel,AI 工程师,AI Engineer,matched,claude.icon.desc,bind,,AI Engineer,171:225
