frame,node_id,name,zh,en,source,var,action,note,text,id
dedup/group_detail,189:152,title,选择保留,Choose what to keep,matched,dedup.detail.title,bind,,选择保留,189:152
dedup/group_detail,189:153,rule_link,保留规则,Keep rule,matched,dedup.keep.rule,bind,"multi:dedup_keep_rule,dedup_rules_title",保留规则,189:153
dedup/group_detail,189:157,label,视觉重复,Visual,matched,dedup.level.visual,bind,ctx:chip→level,视觉重复,189:157
dedup/group_detail,189:158,meta,3 张 · 保留 1 张，删除 2 张,"3 photos · keep 1, delete 2",manual-fixed,dedup.slot.group.summary,bind,slot,3 张 · 保留 1 张，删除 2 张,189:158
dedup/group_detail,189:163,label,保留,Keep,matched,dedup.keep.badge,bind,,保留,189:163
dedup/group_detail,189:165,label,已编辑 · 调色微调,Edited · Color tweak,manual-fixed,dedup.slot.member.edited,bind,slot,已编辑 · 调色微调,189:165
dedup/group_detail,189:166,info1,4032 × 3024 · 3.8 MB,4032 × 3024 · 3.8 MB,literal,,skip,data,4032 × 3024 · 3.8 MB,189:166
dedup/group_detail,189:167,info2,08-22 09:15 保存,Saved 08-22 09:15,manual-fixed,dedup.slot.member.saved,bind,slot,08-22 09:15 保存,189:167
dedup/group_detail,189:171,label,保留这张,Keep this one,matched,dedup.keep.this,bind,,保留这张,189:171
dedup/group_detail,189:175,label,原图,Original,matched,filter.none,bind,"multi:filter_none,style_filter_none,dedup_role_original",原图,189:175
dedup/group_detail,189:176,info1,4032 × 3024 · 4.2 MB,4032 × 3024 · 4.2 MB,literal,,skip,data,4032 × 3024 · 4.2 MB,189:176
dedup/group_detail,189:177,info2,08-20 14:32 拍摄,Taken 08-20 14:32,manual-fixed,dedup.slot.member.taken,bind,slot,08-20 14:32 拍摄,189:177
dedup/group_detail,189:180,label,保留这张,Keep this one,matched,dedup.keep.this,bind,,保留这张,189:180
dedup/group_detail,189:182,text,该组含编辑版本，已按规则保留「已编辑版」,Edited version detected; kept by rule,matched,dedup.hint.edited,bind,,该组含编辑版本，已按规则保留「已编辑版」,189:182
dedup/group_detail,189:185,label,保留所选 · 删除其余 2 张,Keep selected · delete other 2,manual-fixed,dedup.confirm.keep,bind,fill:dedup_confirm_keep,保留所选 · 删除其余 2 张,189:185
