frame,node_id,name,zh,en,source,var,action,note,text,id
editor/current_crop,118:120,top_title,编辑,Edit,matched,edit,bind,multi→edit(PhotoEditorScreen.kt:83 编辑器标题),编辑,118:120
editor/current_crop,118:139,crop_ratio_label,裁剪比例,Aspect Ratio,matched,crop.ratio.label,bind,,裁剪比例,118:139
editor/current_crop,118:141,lbl,自由,Free,matched,aspect.ratio.free,bind,layout-fix: 比例 chip 绝对定位→auto-layout 容器 183:63(hug+gap);EN 7 chip 382px>容器 365→gap5→4+pad11→10,自由,118:141
editor/current_crop,118:143,lbl,原始,Original,matched,aspect.ratio.original,bind,layout-fix: 同 183:63 容器化,原始,118:143
editor/current_crop,118:145,lbl,1:1,1:1,matched,,skip,data-ratio:跨语言同形数字;实现键 aspect_ratio_square; layout-fix: 同 183:63 容器化,1:1,118:145
editor/current_crop,118:147,lbl,4:3,4:3,matched,,skip,data-ratio:跨语言同形数字;实现键 aspect_ratio_4_3; layout-fix: 同 183:63 容器化,4:3,118:147
editor/current_crop,118:149,lbl,3:4,3:4,matched,,skip,data-ratio:跨语言同形数字;实现键 aspect_ratio_3_4; layout-fix: 同 183:63 容器化,3:4,118:149
editor/current_crop,118:151,lbl,16:9,16:9,matched,,skip,data-ratio:跨语言同形数字;实现键 aspect_ratio_16_9; layout-fix: 同 183:63 容器化,16:9,118:151
editor/current_crop,118:153,lbl,9:16,9:16,matched,,skip,data-ratio:跨语言同形数字;实现键 aspect_ratio_9_16; layout-fix: 同 183:63 容器化,9:16,118:153
editor/current_crop,118:155,lbl,构图,Crop,matched,editor.tab.crop,bind,"layout-fix: tab chip 绝对定位 pitch48→容器 183:64 hug+gap6(EN 折行/重叠,方案A 16acea187)",构图,118:155
editor/current_crop,118:157,lbl,调节,Adjust,matched,editor.tab.adjust,bind,layout-fix: 同 183:64 容器化,调节,118:157
editor/current_crop,118:159,lbl,美颜,Beauty,matched,editor.tab.beauty,bind,multi→editor_tab_beauty(底部 tab 语境); layout-fix: 同 183:64 容器化,美颜,118:159
