frame,node_id,name,zh,en,source,var,action,note,text,id
gallery/empty,103:4,quote_text,生活不是我们活过的日子，而是我们记住的日子。,,manual,,bind,no-strings-hit,生活不是我们活过的日子，而是我们记住的日子。,103:4
gallery/empty,103:5,quote_author,— 加西亚·马尔克斯,,manual,,bind,no-strings-hit,— 加西亚·马尔克斯,103:5
gallery/empty,107:60,title_album,相册,Gallery,matched,gallery.title,bind,"multi:gallery,gallery_settings",相册,107:60
gallery/info,105:3,title,照片信息,,manual,,bind,no-strings-hit,照片信息,105:3
gallery/info,105:4,done,完成,Done,matched,done,bind,"multi:done,tag_scan_state_completed",完成,105:4
gallery/info,105:7,label,文件名,File name,matched,media.info.file.name,bind,,文件名,105:7
gallery/info,105:8,value,IMG_20260816_102344.jpg,IMG_20260816_102344.jpg,literal,,skip,data,IMG_20260816_102344.jpg,105:8
gallery/info,105:10,label,类型,Type,matched,media.info.type,bind,,类型,105:10
gallery/info,105:11,value,照片,PHOTO,matched,photo,bind,"multi:photo,person_photos_section,media_type_photo,tag_viewer_tab_photos,a11y_photo_desc",照片,105:11
gallery/info,105:13,label,日期,Date,matched,group.date,bind,,日期,105:13
gallery/info,105:14,value,2026年8月16日 10:23,,manual,,bind,no-strings-hit,2026年8月16日 10:23,105:14
gallery/info,105:16,label,来源,Source,matched,media.info.source,bind,,来源,105:16
gallery/info,105:17,value,相机拍摄,,manual,,bind,no-strings-hit,相机拍摄,105:17
gallery/info,105:19,label,位置,Location,matched,media.info.location,bind,,位置,105:19
gallery/info,105:20,value,北京市朝阳区,,manual,,bind,no-strings-hit,北京市朝阳区,105:20
gallery/info,105:25,label,美学评分,Aesthetic score,matched,media.info.aesthetic.score,bind,,美学评分,105:25
gallery/info,105:26,value,7.2 / 10,7.2 / 10,literal,,skip,data,7.2 / 10,105:26
gallery/info,105:28,label,人脸信息,Face info,matched,media.info.face.section,bind,,人脸信息,105:28
gallery/info,105:29,value,1 张 · 质量 0.82,,manual,,bind,no-strings-hit,1 张 · 质量 0.82,105:29
gallery/info,105:37,section_title,标签,Tags,matched,tag.viewer.section.tags.field,bind,"multi:tag_viewer_section_tags_field,tag_category_tags",标签,105:37
gallery/info,105:39,chip,海边,,manual,,bind,no-strings-hit,海边,105:39
gallery/info,105:40,chip2,日落,,manual,,bind,no-strings-hit,日落,105:40
gallery/info,105:41,chip3,沙滩,,manual,,bind,no-strings-hit,沙滩,105:41
gallery/info,105:43,section_title,OCR 文本,,manual,,bind,no-strings-hit,OCR 文本,105:43
gallery/info,105:44,ocr_body,Summer vacation 2026 · Beidaihe,Summer vacation 2026 · Beidaihe,literal,,skip,data,Summer vacation 2026 · Beidaihe,105:44
gallery/grid,105:47,title_album,相册,Gallery,matched,gallery.title,bind,"multi:gallery,gallery_settings",相册,105:47
gallery/grid,107:33,group_title,今天,Today,manual,gallery.today,bind,ledger:gallery.today,今天,107:33
gallery/grid,107:34,group_count,(6),(6),literal,,skip,data,(6),107:34
gallery/grid,107:35,group_title,昨天,Yesterday,manual,gallery.yesterday,bind,ledger:gallery.yesterday,昨天,107:35
gallery/grid,107:36,group_count,(3),(3),literal,,skip,data,(3),107:36
gallery/search,107:120,placeholder,按内容、地点、文字搜索…,"Search by content, location, text…",matched,gallery.search.hint,bind,,按内容、地点、文字搜索…,107:120
gallery/search,107:123,result_count,12 张,,manual,,bind,no-strings-hit,12 张,107:123
gallery/search,107:126,group_title,搜索 “海边”,,manual,,bind,no-strings-hit,搜索 “海边”,107:126
gallery/search,107:127,group_count,(12),(12),literal,,skip,data,(12),107:127
