score	path
3.597	input_images/insightface_img.png
3.693	input_images/face_test/TEST_PERSON_谭松韵_1782693397477.jpg
3.734	input_images/face_test/TEST_PERSON_林依晨_1782859752849.jpg
3.802	input_images/face_test/TEST_PERSON_谭松韵_1782693398818.jpg
3.815	input_images/face_test/TEST_PERSON_谭松韵_1782693400511.jpg
3.845	input_images/face_test/TEST_PERSON_谭松韵_1782693395584.jpg
3.851	input_images/face_test/TEST_PERSON_张天爱_1782693407814.jpg
3.903	input_images/face_test/TEST_PERSON_林依晨_1782859755489.jpg
3.920	input_images/face_test/TEST_PERSON_林依晨_1782859757911.jpg
3.977	input_images/face_test/TEST_PERSON_古力娜扎_1782859281587.jpg
4.037	input_images/face_test/TEST_PERSON_张天爱_1782693421482.jpg
4.061	input_images/face_test/TEST_PERSON_张天爱_1782693420418.jpg
4.066	input_images/face_test/TEST_PERSON_杨幂_1782835731389.jpg
4.069	input_images/face_test/TEST_PERSON_辛芷蕾_1783217185968.jpg
4.077	input_images/face_test/TEST_PERSON_陈乔恩_1783217212441.jpg
4.080	input_images/face_test/TEST_PERSON_谭松韵_1782693402617.jpg
4.096	input_images/face_test/TEST_PERSON_张天爱_1782693412579.jpg
4.128	input_images/face_test/TEST_PERSON_辛芷蕾_1783217186759.jpg
4.164	input_images/face_test/TEST_PERSON_曾黎_1782859550367.jpg
4.196	input_images/face_test/TEST_PERSON_古力娜扎_1782859126309.jpg
4.198	input_images/face_test/TEST_PERSON_辛芷蕾_1783217192859.jpg
4.229	input_images/face_test/TEST_PERSON_张天爱_1782693418120.jpg
4.241	input_images/face_test/TEST_PERSON_陈乔恩_1783217257966.jpg
4.242	input_images/face_test/TEST_PERSON_张天爱_1782693407249.jpg
4.250	input_images/face_test/TEST_PERSON_杨幂_1777626826994.jpg
4.253	input_images/face_test/TEST_PERSON_古力娜扎_1782859283051.jpg
4.254	input_images/face_test/TEST_PERSON_白冰_1782859544535.jpg
4.254	input_images/face_test/TEST_PERSON_辛芷蕾_1783217185065.jpg
4.261	input_images/face_test/TEST_PERSON_张天爱_1782693409841.jpg
4.269	input_images/face_test/TEST_PERSON_古力娜扎_1782859286230.jpg
4.278	input_images/face_test/TEST_PERSON_杨幂_1777626837754.jpg
4.300	input_images/face_test/TEST_PERSON_陈乔恩_1783217255992.jpg
4.308	input_images/face001_landmarks.png
4.312	input_images/face_test/TEST_PERSON_白冰_1782859541669.jpg
4.315	input_images/face_test/TEST_PERSON_陈乔恩_1783217210045.jpg
4.319	input_images/face_test/TEST_PERSON_陈乔恩_1783217213657.jpg
4.324	input_images/face_test/TEST_PERSON_杨幂_1782834493144.jpg
4.324	input_images/face_test/TEST_PERSON_杨幂_1777626827403.jpg
4.324	input_images/face_test/TEST_PERSON_杨幂_1777626838236.jpg
4.338	input_images/face_test/TEST_PERSON_秦岚_1783217205789.jpg
4.344	input_images/face_test/TEST_PERSON_谭松韵_1782693392875.jpg
4.360	input_images/face_test/TEST_PERSON_谭松韵_1782693394968.jpg
4.384	input_images/face_test/TEST_PERSON_白冰_1782859537124.jpg
4.384	input_images/face_test/TEST_PERSON_陈乔恩_1783217210696.jpg
